Product,Flow,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Nuclear,Other final consumption (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewables and waste,Production (ktoe),1124063.739,1145814.646,1164857.705,1176301.677,1194286.507,1221502.41,1240782.033,1254593.99,1266044.911,1285140.388,1298521.141,1290391.204,1313637.236,1341785.643,1380205.888,1410362.215,1440064.188,1475420.684,1519799.587,1544419.349,1609151.478,1638929.815,1696251.643,1748825.253,1779087.784,1804115.334,1864268.018,1912651.175,1972924.167
Renewables and waste,Imports (ktoe),1003.8426,1002.1445,809.0379,1342.5653,1636.1291,1973.3029,1404.3311,1275.1826,1007.4973,1168.667,1255.7348,1478.9874,1765.1048,2485.881,3521.2837,5002.8246,7875.9956,8806.2565,11140.3096,11249.4274,14334.2643,17604.3347,19339.9628,21590.2501,23032.7867,23451.497,25869.948,27060.7313,29259.1583
Renewables and waste,Exports (ktoe),-365.412,-401.5471,-461.307,-603.7393,-803.5179,-881.5327,-817.3145,-1329.9954,-1074.0131,-1176.1311,-1140.6285,-1519.7724,-1933.8545,-2554.1679,-3885.5499,-4199.3125,-5763.9801,-7719.3189,-11183.852,-9332.1401,-10804.5271,-14520.5043,-16161.0807,-17595.3243,-19505.7791,-18044.4885,-20319.7541,-21660.158,-25249.994
Renewables and waste,Total energy supply (ktoe),1124797.092,1145946.332,1165276.843,1177298.09,1195345.305,1222626.505,1241345.254,1253662.435,1266478.581,1285753.15,1299584.036,1290742.219,1313987.172,1340945.063,1380333.1,1411437.669,1441577.85,1475548.644,1519831.019,1546805.206,1611960.651,1641361.597,1698977.168,1752457.261,1781095.623,1809907.224,1869846.119,1918557.678,1975836.969
Renewables and waste,"Electricity, CHP and heat plants (ktoe)",-276288.3464,-283986.4031,-289868.7449,-300560.151,-307475.0059,-317797.0935,-326141.6443,-330799.2229,-333888.7208,-319953.1807,-332735.0791,-333012.1577,-343347.454,-349179.6893,-372471.8818,-390750.1151,-404816.4009,-419671.7392,-444304.835,-464072.3166,-505945.3492,-529934.502,-570411.1379,-607707.2777,-640080.0075,-665142.9977,-722266.5497,-762756.3541,-813345.0512
Renewables and waste,"Oil refineries, transformation (ktoe)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewables and waste,Total final consumption (ktoe),794342.3054,806760.981,819655.3273,821491.7917,830636.7959,847488.7786,856688.1616,863910.4065,874858.0942,908782.0966,911444.4566,899725.0231,910180.9054,929031.7275,941680.741,952988.5511,965649.8405,979974.5816,995798.8947,1004590.175,1023483.808,1029722.305,1035932.235,1051375.115,1049690.89,1050067.608,1052091.525,1058904.246,1060696.634
Renewables and waste,Industry (ktoe),110787.1581,110527.8263,115229.6362,112654.9425,116890.437,123805.3818,124622.3217,129844.1,133534.3518,158272.2638,160442.0938,152908.4222,153194.0077,159023.7191,167309.3547,172043.297,181847.925,184762.0167,182742.9358,179253.8158,185026.8667,187826.9178,188633.6413,193940.278,192946.8506,200506.7899,204601.5213,204689.8575,205068.7904
Renewables and waste,Transport (ktoe),5899.6593,6155.7556,6027.1462,8518.6191,9275.2045,9754.429,9386.0822,9770.7096,9974.157,10155.6486,9932.6456,9798.07,11445.9652,12967.7642,15529.5275,19327.0212,24670.4861,33364.7588,44829.628,51302.8507,56495.1451,59071.7091,66249.576,71948.4084,75582.4826,78151.3427,81475.7946,83768.9086,89642.3586
Renewables and waste,Residential (ktoe),641876.8482,650693.0628,655656.4073,675007.2184,681281.1435,689767.7292,697570.9251,698857.6122,706266.899,713748.9592,713798.134,710440.4132,717459.0317,726195.3983,726442.3698,727865.8493,724230.5137,725375.7909,731326.9401,735834.2928,739881.2948,739047.0517,734265.6856,737348.5208,730641.5785,717984.3427,711753.6393,714684.647,708728.505
Renewables and waste,Commercial and public services (ktoe),11726.1219,11939.8373,12140.8009,15433.6789,14116.3033,14433.8561,14803.3555,15236.91,15316.2337,16122.1905,16885.0815,16945.7993,18047.5611,20323.8797,21591.1236,22812.3141,23861.1621,24759.1547,25108.9483,25992.7484,28709.3474,29844.3961,32277.0624,33273.9275,35216.9476,37076.0356,37569.3088,38518.2641,39467.6747
Renewables and waste,Other final consumption (ktoe),24052.5187,27444.4995,30601.3375,9877.3324,9073.7074,9727.3826,10305.4767,10201.074,9766.4541,10483.0339,10386.5022,9632.3183,10034.3404,10520.9653,10808.3667,10940.0692,11039.754,11712.86,11790.4421,12206.4665,13371.1527,13932.231,14506.2709,14863.9803,15303.0324,16349.0984,16691.2608,17242.5684,17789.3057
Electricity,Production (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
