Product,Flow,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Nuclear,"Electricity, CHP and heat plants (ktoe)",-582.8708,-375.7263,-458.3236,-115.1671,-14.3308,-656.3485,-632.3771,-825.712,-850.7257,-1036.2438,-1575.3407,-3720.5242,-3605.0965,-3480.5493,-3025.3524,-2567.8105,-3583.7307,-3217.9056,-3639.7509,-3376.065,-3784.1007,-4080.0959,-4178.8478,-4025.639,-4006.8788,-3839.0787,-4133.5105,-4100.9917,-4083.9748
Nuclear,"Oil refineries, transformation (ktoe)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,Total final consumption (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,Industry (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,Transport (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,Residential (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,Commercial and public services (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,Other final consumption (ktoe),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewables and waste,Production (ktoe),65002.1367,66087.2773,65501.8893,65864.0677,69291.1687,68390.023,69922.3527,73480.8248,73507.2564,74532.4023,71958.8002,71107.6301,76882.9909,84747.8095,89406.0759,93324.0329,98558.1409,107139.6195,112667.5384,110930.8941,118586.4067,115842.9204,116383.2885,117808.2989,118554.0858,120122.8868,122346.948,123638.346,129643.24
Renewables and waste,Imports (ktoe),599.583,556.7881,280.3517,743.4365,964.5863,1258.9895,680.1946,465.6494,94.0374,199.1872,43.5923,71.4785,9.1021,19.5252,36.9673,58.1406,102.069,9.6901,0.646,0.646,39.3912,600.9325,291.2863,68.0404,511.2926,431.5521,434.8372,974.8926,947.115
Renewables and waste,Exports (ktoe),0.0,0.0,0.0,-98.5686,-156.417,-211.8413,-110.8807,-92.6906,-78.2805,-212.4553,-121.0888,-168.985,-395.6194,-400.5304,-1172.7051,-1295.7071,-1825.5061,-1863.3678,-2704.8713,-1714.7334,-983.5252,-1017.0953,-1601.8271,-1542.9669,-766.3987,-1107.3653,-935.4194,-728.4531,-883.4093
Renewables and waste,Total energy supply (ktoe),65538.4044,65936.437,65779.721,66669.8115,70051.2327,69430.8711,70425.2015,72924.5741,73640.0592,75195.8032,72830.9441,71228.7351,77045.6112,83492.2258,88810.8365,92424.3282,96518.3521,104539.026,110515.5544,110127.2952,116836.6784,115265.8834,114847.2961,116083.9364,117427.5954,120353.4237,122005.3515,123638.7267,128864.0641
Renewables and waste,"Electricity, CHP and heat plants (ktoe)",-18516.2606,-19554.9155,-20160.3086,-21202.4218,-21934.8906,-22945.8297,-24195.677,-25450.9554,-26554.4187,-26852.2069,-27736.6247,-24803.5158,-26608.5268,-28640.709,-30056.4107,-31767.6269,-32869.3083,-35478.6949,-35513.4422,-37970.2541,-40651.3709,-42957.6643,-42628.6439,-41575.0135,-41659.8869,-41748.6872,-44716.7055,-45029.2486,-47574.7881
Renewables and waste,"Oil refineries, transformation (ktoe)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renewables and waste,Total final consumption (ktoe),33667.5696,33046.0912,33176.0441,33051.9957,34952.0486,34129.0042,34198.6923,34634.6122,35752.6425,37497.7546,35095.5194,36364.2059,39616.8798,42276.0573,45323.5017,46619.2744,48803.026,52566.2732,55789.9058,55718.721,59329.1895,57227.9577,57271.1671,58224.3966,59357.0633,61858.4791,61782.0712,63237.6012,63403.8898
Renewables and waste,Industry (ktoe),16852.4224,16106.5105,16599.9386,17302.9251,19041.8894,18674.9638,18629.6645,19254.3472,20443.1214,22001.6473,20481.0034,21884.6067,23435.8859,25816.1455,27942.0648,28477.2757,31060.087,32678.466,32617.3708,31563.1164,34404.0078,34498.9408,35247.6437,34655.9543,33804.1012,33014.2212,34967.3672,35125.3984,31818.5175
